,titre,tag_1,type
308,porc au caramel recette chinoise facile,plat principal,viande
309,cheesecake de dordogne par laurent mariotte,dessert,autre
310,"gâteau pomme-cannelle, ambiance noël",dessert,fruit
311,gâteau marbré recette de grand-mère au companion,dessert,autre
312,"beignets de prunes (szilvas gomboc, recette hongroise)",dessert,fruit
313,choux farcis (recette polonaise que je tiens de ma mamie),plat principal,viande
314,cookie vegan de ela ryth,dessert,autre
315,"gâteau pomme-cannelle, ambiance noël",dessert,fruit
316,riz de noël,dessert,epices
317,tajine de noël,plat principal,viande
318,recette baba chantilly par jeffrey cagnes,dessert,autre
319,salade de pâtes au reblochon et au pesto,plat principal,pates
320,"poulpe ""a lagareiro"" (recette portugaise)",plat principal,poisson
321,spaghetti au thon (véritable recette italienne),plat principal,poisson
322,crème pâtissière recette d'un pâtissier,dessert,autre
323,scampis à l'italienne (recette maison),entrée,poisson
324,kadaif de langoustines et bisque maison,entrée,poisson
325,véritable carrot cake (recette usa),dessert,autre
326,nems au crabe - recette vietnamienne + sauce,entrée,poisson
327,pompe de noël,dessert,autre
328,petits gâteaux de noël de mémé ou bredele de mémé,dessert,epices
329,risotto à la saucisse de veau,plat principal,viande
330,blinis à la farine de châtaignes (recette corse),dessert,autre
